key;sentence_ja;sentence_fr;sort
牛肉[ぎゅうにく];夕食[ゆうしょく]に 牛肉[ぎゅうにく]を 買[か]った。;J'ai acheté du boeuf pour le dîner.;577
背が高い[せがたかい];こんなに背が高いホビットは見たことがないよ。;Je n'ai jamais vu un hobbit aussi grand auparavant.;578
お茶[おちゃ];お茶でも飲みませんか。;Voulez-vous prendre du thé ?;579
ネクタイ;父[ちち]の 日[ひ]にネクタイをプレゼントした。;Je lui ai offert une cravate en cadeau pour la fête des pères.;581
一万[いちまん];この靴は1万円です。;Ces chaussures sont à 10 000 yens.;582
地下鉄[ちかてつ];私[わたし]は 地下鉄[ちかてつ]で 仕事[しごと]に 行[い]きます。;Je me rends au travail en métro.;583
フィルム;旅行[りょこう]のためにたくさんフィルムを 買[か]った。;À cause du voyage, j'ai acheté beaucoup de pellicules.;584
沢山[たくさん];昨日[きのう]はたくさん 泳[およ]ぎました。;J'ai beaucoup nagé hier.;586
グラム;リンゴは157グラムあります。;La pomme pèse 157 grammes.;588
一月[ひとつき];日本に一月ぐらいいました。;Je suis resté au Japon pendant environ un mois.;589
映画館[えいがかん];彼[かれ]と 近[ちか]くの 映画[えいが] 館[かん]に 行[い]きました。;Je suis allé dans une salle de cinéma à proximité avec lui.;591
カレンダー;カレンダーに 予定[よてい]を 書[か]いた。;J'ai écrit mon emploi du temps sur le calendrier.;592
石鹸[せっけん];石鹸[せっけん]で 手[て]を 洗[あら]ってください。;Lavez vous les mains avec du savon, svp.;593
何番[なんばん];あなたの 電話番号[でんわばんごう]は 何番[なんばん]ですか ？;Quel est votre numéro de telephone ?;594
飴[あめ];飴[あめ]はどうですか。;Comment est le bonbon ?;595
曇る[くもる];明日[あす]は 昼[ひる] 頃[ごろ]から 曇[くも]るでしょう。;Demain, à partir de midi environ, le temps devrait s'ennuager.;597
務める[つとめる];彼女は大きな会社に務めていたけど、やめた。;Elle travaillait dans une grande entreprise, mais elle a démissionné.;598
手[て];分[わ]かった 人[ひと]は 手[て]を 上[あ]げてください。;Les personnes qui ont compris, levez la main.;599
花瓶[かびん];花[か] 瓶[びん]が 落[お]ちた。;Le vase est tombé.;603
昼ご飯[ひるごはん];外[そと]に 昼ご飯[ひるごはん]を 食[た]べます。;Je déjeune dehors.;604
一千[いっせん];昨日、私は一千円で本を買いました。;Hier, j’ai acheté un livre pour 1000 yens.;605
体にいい[からだにいい];休むことは体にいいです。;Le fait de se reposer est bon pour la santé.;606
目[め];彼女[かのじょ]は 青[あお]い 目[め]をしています。;Elle a les yeux bleus.;608
良かったら[よかったら];良かったら連れてくよ。;Je peux vous emmener si vous voulez.;609
時[じ];8時です。;Il est 8h.;610
何階[なんかい];パン 屋[や]は 何階[なんかい]にありますか？;A quel étage est la boulangerie ?;611
四つ[よっつ];彼はドアが4つある車を持っています。;Il a une voiture qui a quatre portes.;612
ハンカチ;ハンカチで 手[て]をふきました。;Je m'essuyai les mains avec mon mouchoir.;613
立ち入り[たちいり]禁止[きんし];ここ は たちいりきんし です;Ici, c'est une zone interdite.;614
交差点[こうさてん];私[わたし]はどの 交差点[こうさてん]で 左[ひだり]に 曲[ま]がるですか。;Je tourne à gauche à quelle intersection ?;615
夕べ[ゆうべ];夕べはあまり暑くなかった。;Il n'a pas fait très chaud hier soir.;616
晩ご飯[ばんごはん];母は 晩御飯[ばんごはん]を 作[つく]るのに 忙[いそ]がしいです。;Maman est occupée à cuisiner le dîner.;617
何処[どこ];あの 本[ほん]をどこに 置[お]きましたか。;Où avez-vous mis ce livre-là ?;618
セーター;このセーターはウールだ。;Ce pull est en laine.;619
二百[にひゃく];私は二百円持っていたけど、使わなかった。;J'avais 200 yens, mais je ne les ai pas dépensés.;620
五つ[いつつ];彼は５つ新しい単語を覚えました。;Il a mémorisé cinq nouveaux mots.;622
六日[むいか];10月[じゅうがつ] 6日[むいか]に 会[あ]いませんか。;Est-ce qu'on ne se verrait pas le 6 octobre ?;623
暖かい[あたたかい];このコートはとても 暖[あたた]かい。;Ce manteau est très chaud.;624
一寸[ちょっと];ちょっとだけ 待[ま]っていてください。;Veuillez attendre juste un instant, s'il-vous-plaît.;625
五十[ごじゅう];かいてんずしで、五十さらたべた。;J'ai mangé cinquante assiettes à sushi sur tapis roulant.;626
此方[こちら];受付[うけつけ]はこちらです。;La réception est par ici.;629
美味しい[おいしい];このケーキは 美味[おい]しいね。;Ce gâteau est délicieux.;630
鳥肉[とりにく];鳥肉[とりにく]を３ポンドください。;Je voudrais trois livres de poulet.;631
此方[こっち];こっちに 来[き]てください。;Viens ici, s'il-te-plaît.;633
曇り[くもり];今日[きょう]は 一[いち] 日[にち] 曇[くも]りでした。;C'était nuageux toute la journée.;634
何方[どっち];どっち の いろ が すき です か 。;Quelle couleur aimes-tu? (fam.);636
有る[ある];私[わたし]の 机[つくえ]の 上[うえ]に 書類[しょるい]がたくさん 有[あ]ります。;Il y a beaucoup de documents sur mon bureau.;637
あのう;あのう、すみません。すずきさんですか。;Euh, excusez-moi. Êtes-vous M. Suzuki ?;638
八日[ようか];学校[がっこう]は ４月[しがつ] ８日[ようか]から 始[はじ]まる。;L'école commence à partir du 8 avril.;639
お酒[おさけ];私はあまりお酒を飲みません。;Je ne bois pas beaucoup d'alcool.;641
四十[よんじゅう];Tシャツを四十まいもっています。;J'ai quarante tee-shirts.;642
未だ[まだ];宿題[しゅくだい]はまだ 終[お]わっていません。;Mes devoirs ne sont pas encore terminés.;643
再来年[さらいねん];次[つぎ]のオリンピックは 再来年[さらいねん]です。;Les prochains jeux olympiques sont dans deux ans.;644
二十日[はつか];私[わたし]は 二十日[はつか]までに 帰[かえ]るつもりです。;Je prévois de revenir avant le 20 du mois.;645
七つ[ななつ];七つの海の名前は何ですか。;Quels sont les noms des sept mers ?;646
音を出す[おとをだす];彼女はピアノで高い音を出した。;Elle a sorti une note aiguë au piano.;647
其方[そっち];そっちが 私[わたし]の 部屋[へや]です。;C'est ma chambre par là.;648
九日[ここのか];１１月[じゅういちがつ] ９日[ここのか]にスピーチコンテストがありました。;Le 9 novembre, il y a eu un concours d'éloquence.;649
灰皿[はいざら];灰皿[はいざら]をください。;Un cendrier, s'il-vous-plaît.;650
可愛い[かわいい];彼女[かのじょ]の 赤[あか]ちゃんは 可愛[かわい]いです。;Son bébé est mignon.;651
スリッパ;スリッパ を はいて ください;Portez des pantoufles s'il vous plaît.;652
丁度[ちょうど];値段[ねだん]はちょうど３ 万[まん] 円[えん]です。;Le prix est de 30 000 yens exactement.;653
不味い[まずい];ここの 料理[りょうり]はまずい。;La nourriture d'ici est mauvaise.;654
十[じゅう];十二時;douze heures;655
嫌[いや];私[わたし]は 待[ま]つのが 嫌[いや]だ。;Il m'est désagréable d'attendre.;656
何れ[どれ];この 中[なか]でどれが 好[す]きですか。;Parmi ceux-ci, lequel préférez-vous ? (3 ou plus);657
何方[どちら];お手洗いはどちらですか。;Où se trouvent les toilettes ? (poli);658
朝ご飯[あさごはん];朝ご飯はサンドイッチでした。;Pour le petit-déjeuner, c'était un sandwich. ;659
四千[よんせん];フォロワーが四千人になりました。;J'ai atteint quatre mille followers.;661
郵便局[ゆうびんきょく];郵便[ゆうびん] 局[きょく]はどこですか。;Où est le bureau de poste ?;662
背広[せびろ];背広[せびろ]をクリーニングに 出[だ]しました。;J'ai déposé mon costume au pressing.;663
ご馳走様[ごちそうさま];おいしかった！ごちそうさまでした！;C'était délicieux! Merci pour le repas !;664
如何[どう];事はどうですか？;Le travail, comment ça va ?;665
其方[そちら];夕方[ゆうがた]そちらに 着[つ]きます。;J'arriverai par là dans la soirée.;667
ご馳走様でした[ごちそうさまでした];おいしかった！ごちそうさまでした！;C'était délicieux! Merci pour le repas !;668
八つ[やっつ];この赤いリンゴを8つください。;Veuillez me donner huit de ces pommes rouges.;669
鉛筆[えんぴつ];鉛筆[えんぴつ]を 貸[か]してください。;Prête-moi un crayon s'il-te-plaît.;670
二[に];その人には二回会った。;J'ai rencontré cette personne deux fois.;671
此処[ここ];ここから近い;Depuis ici, c’est proche.;672
豚肉[ぶたにく];豚肉[ぶたにく]は 美味[おい]しいです。;La viande de porc est délicieuse. ;673
四[よん];彼は二十四歳です。;Il a vingt-quatre ans.;674
店[みせ];私[わたし]はこの 店[みせ]によく 来[き]ます。;Je viens dans ce magasin assez souvent.;675
六つ[むっつ];彼らは6つの物を取りました。;Ils ont pris 6 choses.;676
段々[だんだん];段々難しくなります。;Cela devient progressivement difficile.;677
屋[や];花屋[はなや]でバラを 探[さが]しました。;J'ai cherché une rose chez un fleuriste.;678
ボールペン;ボールペンで 名前[なまえ]を 書[か]いてください。;Veuillez écrire votre nom avec un stylo à bille.;679
辛い[からい];この 料理[りょうり]は 安[やす]くても 辛[から]いです。;Ce plat est bon marché mais épicé;680
七[なな];数字の七十七;numéro soixante-dix-sept;681
お誕生日おめでとう[おたんじょうびおめでとう];お誕生日おめでとう;joyeux anniversaire;682
万[まん];5 万[まん] 円[えん] 払[はら]う。;Je paye 50.000 yens.;685
彼処[あそこ];あそこに 人[ひと]が います。;Il y a une personne là-bas.;686
木[き];台風[たいふう]で 木[き]が 倒[たお]れた。;Un arbre est tombé sous le typhon.;687
為る[する];あなたは 買い物[かいもの]しますか。;Faites-vous les courses ?;688
此れ[これ];これをください。;Ceci s'il vous plait.;689
頁[ページ];5ページの最初を見てください。;Regardez le début de la page 5.;690
其の[その];毎日[まいにち]、 私[わたし]はその 本屋[ほんや]で 彼女[かのじょ]を 待[ま]ちました。;Tous les jours j'attendais mon amie à cette librairie.;692
然し[しかし];然[しか]し、そこには 誰[だれ]もいなかった。;Cependant, il n'y avait personne là-bas.;693
キログラム;１キログラムは、だいたい2.2ポンドです;Un kilogramme équivaut à environ 2,2 livres.;694
此の[この];この猫ですね。;C'est ce chat-ci, n'est-ce pas ?;695
十万[じゅうまん];パチンコで十万円かちました。;J'ai gagné cent mille yens au pachinko.;696
何時も[いつも];彼女[かのじょ]はいつも 元気[げんき]だ。;Elle est toujours pleine d'énergie.;698
九つ[ここのつ];私たちの学校にはクラスが９つある。;Il y a neuf classes dans notre école.;699
暇[ひま];明日[あした]は 暇[ひま]ですか。;Es tu libre demain ?;700
迄[まで];駅[えき]まで 歩[ある]いて 行[い]きます。;Je vais à pied jusqu'à la gare.;701
お祖母さん[おばあさん];かのじょ は おばあさん と すん でいる 。;Elle vit avec sa grand-mère.;702
お皿[おさら];コップとお皿は割れていた。;La tasse et l'assiette étaient cassées.;703
直ぐに[すぐに];彼は直ぐにそのショックから立ち直った。;Il s'est rapidement remis du choc.;704
四[し];四月ですね。;Nous sommes en avril, n'est-ce pas ?;705
二万[にまん];このぶどうは二万円もしました。;Ces raisins coûtaient 20 000 yens !;706
絵[え];値段[ねだん]が 高[たか]い 絵[え]です。;C'est une peinture au prix élevé.;707
五百[ごひゃく];567/五百六十七;cinq cent soixante-sept;709
其れ[それ];それはとってもいい 話[はなし]だ。;Cela est une très bonne histoire.;710
其処[そこ];そこに 座[すわ]ってください。;Asseyez vous là s'il vous plait.;711
復[まだ];パンはまだ 暑[あつ]いです．;Le pain est encore chaud.;712
を見せて[をみせて];チケットを見せてください。;Veuillez me montrer votre billet.;713
見せて[みせて];ちょっと見せてくださいね。;Montrez-moi un instant, d’accord ?;714
次の[つぎの];先生[せんせい]は 次[つぎ]の 時間[じかん]にそこにいます。;L'enseignant sera là durant la prochaine heure.;715
