人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
喉[のど];風邪[かぜ]を 引[ひ]いて 喉[のど]が 痛[いた]いです。;
いらっしゃる;お 客様[きゃくさま]がいらっしゃいました。;
折れる[おれる];台風[たいふう]の 日[ひ]は 茎[くき]が 折[お]れる 危険性[きけんせい]があるので 補強[ほきょう]する 必要[ひつよう]があります。 喧嘩[けんか]して、 歯[は]が 折[お]れてしまった。;
見物[けんぶつ];皆[みんな]で 東京[とうきょう]見物[けんぶつ]をした。;
普通に[ふつうに];普通[ふつう]におとなしくする 夫[おっと]はあの 奴[やつ]に 会[あ]うと 暴[あば]れん 坊[ぼう]になる。;
習慣[しゅうかん];毎朝[まいあさ]コーヒーを 飲[の]むのが 習慣[しゅうかん]です。;
国際[こくさい];国際[こくさい]電話[でんわ]をかけたいのですが。;
家内[かない];私[わたし]の 家内[かない]は 医者[いしゃ]です。;
招待[しょうたい];招待状[しょうたいじょう]の 印刷[いんさつ]はもう 済[す]んでいる。;
夕飯[ゆうはん];夕飯[ゆうはん]は 寿司[すし]でした。;
たった今[たったいま];電車[でんしゃ]はたった 今[いま]出[で]たところです。;
見付かる[みつかる];メガネが 見付[みつ]かりません。;
卒業[そつぎょう];大学[だいがく]卒業生[そつぎょうせい]の 未就職者[みしゅうしょくしゃ]は ４０００人[にん]以上[いじょう]に 及[およ]んでいる。
泥棒[どろぼう];近所[きんじょ]に 泥棒[どろぼう]が 入[はい]った。
予約[よやく];レストランを 予約[よやく]しました。
スーツ;あのスーツはそんなに 高[たか]くない。
台風[たいふう];台風[たいふう]で 木[き]が 倒[たお]れた。
研究[けんきゅう];１０年ぐらい、 経済[けいざい]を 研究[けんきゅう]しています。
固い[かたい];わたしの 上司[じょうし]は 頭[あたま]が 固[かた]い。
産業[さんぎょう];日本[にほん]の 自動車[じどうしゃ]産業[さんぎょう]は 世界[せかい]に 有名[ゆうめい]だ。
ご存じ[ごじぞんじ];彼[かれ]の 名前[なまえ]をご 存知[ぞんじ]ですか。
アジア;アジアからの 留学生[りゅうがくせい]は 日本語[にほんご]同様[どうよう]に 英語[えいご]も 話[はな]す。
文学[ぶんがく];ロシア 文学[ぶんがく]の 翻訳[ほんやく]をやっています。
水泳[すいえい];子供[こども]の 時[とき]、 水泳[すいえい]が 嫌[きら]いでした。
医学[いがく];大学[だいがく]で 四年間[よねんかん]医学[いがく]の 勉強[べんきょう]をした。
構いません[かまいません];私[わたし]が 何[なに]か 言[い]っても 構[かま]いませんか。
ご存じ[ごぞんじ];真相[しんそう]をご 存じですか？
隅[すみ];部屋[へや]の 隅[すみ]に 机[つくえ]を 置[お]いています。
林[はやし];私達[わたしたち]は 林[はやし]の 中[なか]に 入[はい]っていた。
退院[たいいん];彼女[かのじょ]は 入退院[にゅうたいいん]を 繰[く]り 返[かえ]している。
ステーキ;ここのステーキはまあまあです。
工業[こうぎょう];そこは 工業[こうぎょう]都市[とし]だ。
この頃[このごろ];この 頃[ごろ]、 寒[さむ]い 日[ひ]が 多[おお]いですね。
玩具[おもちゃ];お 母[かあ]さんは 私[わたし]に 玩具[おもちゃ]をくれました。
輸入[ゆにゅう];昨年[さくねん]は 輸入[ゆにゅう]が 輸出[ゆしゅつ]を 超[こ]えた。
塵[ごみ];決[き]められた 日[ひ]に、 塵[ごみ]を 出[だ]す。
毎月[まいつき];毎月[まいつき]レポートを 出[だ]さなければならない。
飾る[かざる];玄関[げんかん]に 花[はな]を 飾[かざ]りました。
研究室[けんきゅうしつ];先生[せんせい]の 研究室[けんきゅうしつ]に 参[まい]ります。
お見舞い[おみまい];私[わたし]たち、 入院中[にゅういんちゅう]のトムのお 見舞[みま]いに 行[い]ってたの。
輸出[ゆしゅつ];輸出市場[ゆしゅつしじょう]での 競争力強化[きょうそうりょくきょうか]が 緊急[きんきゅう]の 課題[かだい]である。
飛行場[ひこうじょう];バスが 飛行場[ひこうじょう]に 着[つ]きました。
怪我[けが];かのじょは 腕[うで]を 怪我[けが]した。
ご覧になる[ごらんになる];ご 覧[らん]になれると 思[おも]います。
復習[ふくしゅう];勉強[べんきょう]したことを 必[かなら]ず 復習[ふくしゅう]して 授業[じゅぎょう]に 臨[のぞ]んでください。
予習[よしゅう];授業[じゅぎょう]の 予習[よしゅう]をしてくるべきだったのに。
ご覧になる[ごになるらんになる];私[わたし]たちの 新居[しんきょ]をご 覧[らん]になってはいかがですか。
翻訳[ほんやく];その 論文[ろんぶん]を 翻訳[ほんやく]するには 少[すく]なくとも ３日[みっか]は 必要[ひつよう]です。
一億[いちおく];コウイチは 東京[とうきょう]に 一億円[いちおくえん]のマンションを 持[も]っています。
只今[ただいま];只今[ただいま]、ジョエルさんは 公務中[こうむちゅう]です。
此の頃[このごろ];此[こ]の 頃[ごろ]、 寒[さむ]い 日[ひ]が 多[おお]いですね。
若し[もし];もし 雨[あめ]が 降[ふ]ったら、 行[い]きません。
お祭り[おまつり];メーデーは 世界[せかい]の 労働者[ろうどうしゃ]のお 祭[まつ]りの 日[ひ]でもあります。
皆[みな];わたしの 昇進[しょうしん]を 皆[みな]がよろこんでくれたの。
二倍[にばい];新[あたら]しい 飛行機[ひこうき]は 音速[おんそく]の 二倍[にばい]の 速[はや]さで 飛[と]ぶ。
機[き];掃除機[そうじき]が 壊[こわ]れた。
未だ未だ[まだまだ];未[ま]だ 未[ま]だかかりますか？
それ程[それほど];彼女[かのじょ]にとって 仕事[しごと]を 見[み]つけるのはそれ 程[ほど]難[むずか]しくないです。
出来るだけ[できるだけ];出来[で]来るだけ 早[はや]く 来[き]てください。
葉[は];これは 桜[さくら]の 葉[は]です。
なる程[なるほど];なるほど、わかりました！
どうぞお元気で[どうぞおげんきで];どうぞお 元気で。
又今度お願いします[またこんどおねがいします];又今度お 願いします。
間に[あいだに];彼は 合間[あいま]に 釣[つ]りに 行[い]った。
気持ちがいい[きもちがいい];温泉[おんせん]のお 湯[ゆ]は、 本当[ほんとう]に 気持[きも]ちがいいものでした。
を下さい[をください];この 手紙[てがみ]を 受[う]け 取[と]ったらすぐに 私[わたし]に 電話[でんわ]を 下[くだ]さい。
湯[ゆ];お 風呂[ふろ]のお 湯[ゆ]がいっぱいです。
いい事ですね[いいことですね];いい 事[こと]ですね。
途中で[とちゅうで];途中[とちゅう]で 乗[の]り 換[か]えが 必要[ひつよう]ですか。
最後に[さいごに];彼女[かのじょ]は 私[わたし]にそれを 最後[さいご]にさよならを 言[い]った。
お釣り[おつり];お 釣[つ]りはいいです。
多くの[おおくの];ジーンズは 多[おお]くの 人[ひと]がよく 履[は]いている。
ご注文は[ごちゅうもんは];ご 注文[ちゅうもん]は 何[なに]にしますか。
宜しくお伝え[よろしくおつたえ];宜[よろ]しくお 伝[つた]え。
泳ぎ方[およぎかた];泳[およ]ぎ 方[かた]を 覚[おぼ]えるまで、 水[みず]に 近寄[ちかよ]ってはいけません。
毛ですね[もうですね];もう 六時[ろくじ]ですね。
市[し];成田市[なりたし]は 千葉県[ちばけん]の 東[ひがし]にあります。
斯う[こう];問題[もんだい]は 斯[こ]うなるのだ。つまり 誰[だれ]が 彼女[かのじょ]に 電話[でんわ]をかけたかだ。
喉が渇きました[のどがかわきました];喉[のど]が 渇[かわ]きました。
吃驚[びっくり];その 質問[しつもん]は 少[すこ]し 吃驚[びっくり]した。
其れはいけませんね[それはいけませんね];それはいけませんね。
三つ星レストラン[みっつぼしレストラン];彼女[かのじょ]は 四[よ]つ 星[ぼし]レストランの 料理人[りょうりにん]だ。
以上です[いじょうです];６歳[ろくさい]以上[いじょう]の 子供[こども]は 学校[がっこう]に 通[かよ]わなければならない。 以上[いじょう]ですか？
中[ちゅう];うちの 子[こ]の 身長[しんちょう]はクラスで 中[ちゅう]くらいです。
時[とき];時[とき]の 経[た]つのは 早[はや]い。
部分[ぶぶん];この 部分[ぶぶん]は 問題[もんだい]ないです。
大[だい];チーズケーキの 大[だい]を 一[ひと]つください。
一体[いったい];一体[いったい]何事[なにごと]ですか。
今日[こんにち];今日[きょう]はとても 寒いわね。
上[かみ];お 上[かみ]は 何[なに]を 考[かんが]えてるんだろうね。
本人[ほんにん];それは 本人[ほんにん]に 聞[き]いてください。
様子[ようす];彼女[かのじょ]の 様子[ようす]を 見[み]てきます。
自身[じしん];自分[じぶん]自身[じしん]を 疑[うたが]ってはいけません。
全体[ぜんたい];全体[ぜんたい]の 80パーセントが 完成[かんせい]しました。
中心[ちゅうしん];ここが 建物[たてもの]の 中心[ちゅうしん]です。
全員[ぜんいん];チーム 全員[ぜんいん]に 名札[なふだ]が 配[くば]られました。
出会う[であう];アメリカで 彼女[かのじょ]と 出会[であ]いました。
違い[ちがい];この 二[ふた]つには 大[おお]きな 違[ちが]いがある。
以前[いぜん];以前[いぜん]、 彼[かれ]はこの 町[まち]に 住[す]んでいたんだ。
他人[たにん];私[わたし]は 他人[たにん]に 住所[じゅうしょ]を 教[おし]えたくない。
世の中[よのなか];世[よ]の 中[なか]には 色々[いろいろ]な 人[ひと]がいます。
同時[どうじ];二人[ふたり]の 走者[そうしゃ]は 同時[どうじ]にゴールしたよ。
思い出[おもいで];旅行[りょこう]で 楽[たの]しい 思[おも]い 出[で]ができました。
集中[しゅうちゅう];勉強[べんきょう]に 集中[しゅうちゅう]しなさい。
感じ[かんじ];あの 子[こ]は 感[かん]じのいい 子[こ]です。
願う[ねがう];彼[かれ]が 元気[げんき]になるよう 願[ねが]っています。
様[よう];彼女[かのじょ]は 眠[ねむ]い 様[よう]です。
担当[たんとう];私[わたし]はセールスを 担当[たんとう]しています。
人物[じんぶつ];彼[かれ]は 会社[かいしゃ]の 重要[じゅうよう]な 人物[じんぶつ]です。
能力[のうりょく];彼[かれ]は 能力[のうりょく]のある 社員[しゃいん]です。
協力[きょうりょく];このプロジェクトには 皆[みな]の 協力[きょうりょく]が 必要[ひつよう]です。
実際[じっさい];彼[かれ]は 実際[じっさい]にはあまり 背[せ]が 高[たか]くない。
選手[せんしゅ];彼[かれ]はプロのサッカー 選手[せんしゅ]だ。
夫れ夫れ[それぞれ];人[ひと]は 夫[それ]れ 夫[ぞ]れ 考[かんが]え 方[かた]が 違[ちが]います。
完全[かんぜん];この 古[ふる]い 寺院[じいん]は 今[いま]でも 完全[かんぜん]な 形[かたち]を 保[たも]っているんだ。
出来事[できごと];面白[おもしろ]い 出来事[できごと]がありました。
中学[ちゅうがく];息子[むすこ]は 中学[ちゅうがく]に 通[かよ]っています。
年間[ねんかん];年間[ねんかん]五万人[ごまんにん]がここを 訪[おとず]れます。
女子[じょし];このクラスの 女子[じょし]は 十八人[じゅうはちにん]です。
