人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい] 飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん] 海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと] 映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
作る[つくる];今[いま] 朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
どうも住みません[どうもすみません];どうもすみません。;632
ストーブ;うちでは まだ ストーブを 使[つか]っています。;635
一月[いちがつ];私[わたし]は 一月[いちがつ]に 漢字[かんじ]を 千[せん]個[こ]覚[おぼ]えました。;640
万年筆[まんねんひつ];父[ちち]に 万年筆[まんねんひつ]を プレゼントしました。;660
煙草[たばこ];彼[かれ]は たばこを 吸[す]いません。;666
五[ご];五人[ごにん]で 旅行[りょこう]に 行[い]きました。;708
お巡りさん[おまわりさん];あの お巡[まわ]りさんに 道[みち]を 聞[き]きましょう。;691
歯[は];私[わたし]の 歯[は]は 丈夫[じょうぶ]です。
ワイシャツ;彼[かれ]は 白[しろ]い ワイシャツを 着[き]ている。
レポートを出す[レポートをだす];来週[らいしゅう]の 月曜日[げつようび]までに レポートを 出[だ]してください。
お祖父さん[おじいさん];お祖父[おじい]さんは 静[しず]かに ベンチに 座[すわ]っていました。
奇麗[きれい];彼女[かのじょ]は とても 奇麗[きれい]だ。
ビタミンＣ;ビタミンＣを 毎日[まいにち]とった 方[ほう]が いいですよ。
縦[たて];日本[にほん]の 新聞[しんぶん]は ふつう 縦[たて]に 書[か]いてある。
痛いだ[いたいだ];頭[あたま]が 痛[いた]いの？
戸[と];部屋[へや]の 戸[と]が 開[あ]いています。
公園を散歩[こうえんをさんぽ];彼[かれ]は きのう 公園[こうえん]を 散歩[さんぽ]した。
円い[まるい];円[まる]い お皿[おさら]を 机[つくえ]に 並[なら]べてください。
そうですか;そうですか。では これは 何[なん]ですか。
やなど;コンビニで 寿司[すし]や サンドイッチや ラーメンなどが あります。
次[つぎ]の;次[つぎ]の 日曜日[にちようび]には どこへ 行[い]きたいですか。
合う[あう];この 靴[くつ]は 私[わたし]の 足[あし]に 合[あ]っている。
心[こころ];彼女[かのじょ]は 心[こころ]が 優[やさ]しい。
彼女[かのじょ];彼女[かのじょ]は 泣[な]いた。
一杯[いっぱい];プールは 人[ひと]で 一杯[いっぱい]です。
間[あいだ];バスは 予定[よてい]の 時間[じかん]より１０分 遅[おく]れで 着[つ]いた。
上がる[あがる];わたしたちは 二階[にかい]に 上[あ]がった。
気分[きぶん];気分[きぶん]は 良[よ]くなりましたか。
会議[かいぎ];今日[きょう]の 午後[ごご]、 大事[だいじ]な 会議[かいぎ]があります。
終わり[おわり];夏休[なつやす]みも もう 終[お]わりだ。
受ける[うける];日本[にほん]の 大学[だいがく]を 受[う]けたいです。
申し上げる[もうしあげる];反対[はんたい] 申[もう]し上[あ]げるつもりは 全然[ぜんぜん]なかったのです。
続く[つづく];三日間[みっかかん] 晴[は]れが 続[つづ]いた。
最も[もっとも];冬[ふゆ]は 一日[いちにち]が 短[みじか]く、最[もっと]も 寒[さむ]い 時期[じき]です。
下げる[さげる];すこし 音量[おんりょう]を 下[さ]げてください。
音[おと];雨[あめ]の 音[おと]が 聞[き]こえる。
関係[かんけい];その 二[ふた]つの 国[くに]の 関係[かんけい]は 複雑[ふくざつ]だ。
利用[りよう];いつも 地下鉄[ちかてつ]を 利用[りよう]しています。
会場[かいじょう];会場[かいじょう]は 人[ひと]で 一杯[いっぱい]になりました。
楽しみ[たのしみ];彼女[かのじょ]の いちばんの 楽[たの]しみはショッピングです。
社会[しゃかい];これは 大[おお]きな 社会[しゃかい]問題[もんだい]になっている。
笑う[わらう];赤[あか]ん坊[ぼう]が 笑[わら]っています。
直す[なおす];私[わたし]が それを 直[なお]しました。
形[かたち];このクッキーは 星[ほし]の 形[かたち]です。
見つかる[みつかる];眼鏡[めがね]が 見[み]つかりません。
格好[かっこう];格好[かっこう]の いい 青年[せいねん]に 会[あ]ったよ。
失敗[しっぱい];一度[いちど]の 失敗[しっぱい]で あきらめては いけないよ。
仕方無い[しかたない];いたずらをするのは 仕方[しかた]が 無[な]い。
決して[けっして];このことを 決[けっ]して 忘[わす]れないでください。
似る[にる];母[はは]に 似[に]ています。
計画[けいかく];今年[ことし] 家族[かぞく]と 旅行[りょこう]を 計画[けいかく]しています。
上手い[うまい];娘[むすめ]はバイオリンが 上手[うま]いんだよ。
触る[さわる];絵[え]に 触[さわ]らないでください。
一生懸命[いっしょうけんめい];彼[かれ]は 毎日[まいにち] 一生懸命[いっしょうけんめい] 働[はたら]いている。
怒る[おこる];彼女[かのじょ]が 嘘[うそ]をついたので 彼[かれ]は 怒[おこ]った。
君[くん];君[くん]、僕[ぼく]のこと 好[す]きなの？
頂く[いただく];お客様[きゃくさま]にお菓子[かし]を頂[いただ]いた。
用意[ようい];シェフが料理[りょうり]を用意[ようい]している。
連れる[つれる];両親[りょうしん]の家[いえ]に彼女[かのじょ]を連[つ]れて行[い]きたい。
構う[かまう];子供[こども]に構[かま]いすぎてはいけない。
席[せき];この席[せき]は空[あ]いていますか。
石[いし];この教会[きょうかい]は石[いし]でできている。
説明[せつめい];旅行[りょこう]で使[つか]ったお金[かね]、全部[ぜんぶ]説明[せつめい]がつきますか。
比べる[くらべる];いろいろな店[みせ]で値段[ねだん]を比[くら]べた。
島[しま];日本[にっぽん]は島国[しまぐに]です。
そう;悲[かな]しそうな男[おとこ]の子[こ]
ちゃん;マリちゃんは友達[ともだち]です。
止める[やめる];彼[かれ]らの隠[かく]れ家[が]を突[つ]き止[と]めるのに１週間[いっしゅうかん]かかった。
高校生[こうこうせい];私[わたし]の 弟[おとうと]は 高校生[こうこうせい]です;
億[おく];来週[らいしゅう]、スーパージャックポットは2億[おく]ユーロになります。;
空港[くうこう];二人[ふたり]は 空港[くうこう]のところを 探[さが]しました。;
布団[ふとん];母[はは]はすぐに 布団[ふとん]を 片付[かたづ]けました。;
久しぶり[ひさしぶり];明日[あした]、久[ひさ]しぶりに 友達[ともだち]に 会[あ]います。;
下さる[くださる];ロビーまで 来[き]て 下[くだ]さる？;
喉[のど];風邪[かぜ]を 引[ひ]いて 喉[のど]が 痛[いた]いです。;
いらっしゃる;お 客様[きゃくさま]がいらっしゃいました。;
折れる[おれる];台風[たいふう]の 日[ひ]は 茎[くき]が 折[お]れる 危険性[きけんせい]があるので 補強[ほきょう]する 必要[ひつよう]があります。喧嘩[けんか]して、歯[は]が 折[お]れてしまった。;
見物[けんぶつ];皆[みんな]で 東京[とうきょう]見物[けんぶつ]をした。;
普通に[ふつうに];普通[ふつう]におとなしくする 夫[おっと]はあの 奴[やつ]に 会[あ]うと 暴[あば]れん坊[ぼう]になる。;
習慣[しゅうかん];毎朝[まいあさ]コーヒーを 飲[の]むのが 習慣[しゅうかん]です。;
国際[こくさい];国際[こくさい]電話[でんわ]をかけたいのですが。;
家内[かない];私[わたし]の 家内[かない]は 医者[いしゃ]です。;
招待[しょうたい];招待状[しょうたいじょう]の 印刷[いんさつ]はもう 済[す]んでいる。;
夕飯[ゆうはん];夕飯[ゆうはん]は 寿司[すし]でした。;
たった今[たったいま];電車[でんしゃ]はたった 今[いま] 出[で]たところです。;
見付かる[みつかる];メガネが 見付[みつ]かりません。;
卒業[そつぎょう];大学[だいがく]卒業生[そつぎょうせい]の 未就職者[みしゅうしょくしゃ]は４０００人[にん]以上[いじょう]に 及[およ]んでいる。
泥棒[どろぼう];近所[きんじょ]に 泥棒[どろぼう]が 入[はい]った。
予約[よやく];レストランを 予約[よやく]しました。
スーツ;あのスーツはそんなに 高[たか]くない。
台風[たいふう];台風[たいふう]で 木[き]が 倒[たお]れた。
研究[けんきゅう];１０年ぐらい、経済[けいざい]を 研究[けんきゅう]しています。
固い[かたい];わたし の 上司[じょうし] は 頭[あたま] が 固[かた]い。
産業[さんぎょう];日本[にほん]の 自動車[じどうしゃ]産業[さんぎょう]は 世界[せかい]に 有名[ゆうめい]だ。
ご存じ[ごじぞんじ];彼[かれ]の 名前[なまえ]をご 存知[ぞんじ]ですか。
アジア;アジアからの 留学生[りゅうがくせい]は 日本語[にほんご]同様[どうよう]に 英語[えいご]も 話[はな]す。
文学[ぶんがく];ロシア文学[ぶんがく]の 翻訳[ほんやく]をやっています。
水泳[すいえい];子供[こども]の 時[とき]、水泳[すいえい]が 嫌[きら]いでした。
医学[いがく];大学[だいがく]で 四年間[よねんかん] 医学[いがく]の 勉強[べんきょう]をした。
構いません[かまいません];私[わたし]が 何[なに]か 言[い]っても 構[かま]いませんか。
ご存じ[ごぞんじ];真相[しんそう]をご存じですか？
隅[すみ];部屋[へや]の 隅[すみ]に 机[つくえ]を 置[お]いています。
林[はやし];私達[わたしたち]は 林[はやし]の 中[なか]に 入[はい]っていた。
退院[たいいん];彼女[かのじょ]は 入退院[にゅうたいいん]を 繰[く]り 返[かえ]している。
ステーキ;ここのステーキはまあまあです。
工業[こうぎょう];そこは 工業[こうぎょう]都市[とし]だ。
この頃[このごろ];この 頃[ごろ]、寒[さむ]い 日[ひ]が 多[おお]いですね。
玩具[おもちゃ];お母[かあ]さんは 私[わたし]に 玩具[おもちゃ]をくれました。
輸入[ゆにゅう];昨年[さくねん]は 輸入[ゆにゅう]が 輸出[ゆしゅつ]を 超[こ]えた。
塵[ごみ];決[き]められた 日[ひ]に、塵[ごみ]を 出[だ]す。
毎月[まいつき];毎月[まいつき]レポートを 出[だ]さなければならない。
飾る[かざる];玄関[げんかん]に 花[はな]を 飾[かざ]りました。
研究室[けんきゅうしつ];先生[せんせい]の 研究室[けんきゅうしつ]に 参[まい]ります。
お見舞い[おみまい];私[わたし]たち、入院中[にゅういんちゅう]のトムのお見舞[みま]いに 行[い]ってたの。
輸出[ゆしゅつ];輸出市場[ゆしゅつしじょう]での 競争力強化[きょうそうりょくきょうか]が 緊急[きんきゅう]の 課題[かだい]である。
飛行場[ひこうじょう];バスが 飛行場[ひこうじょう]に 着[つ]きました。
怪我[けが];かのじょ は 腕[うで]を 怪我[けが]した。
ご覧になる[ごらんになる];ご覧[らん]になれると 思[おも]います。
復習[ふくしゅう];勉強[べんきょう]したことを 必[かなら]ず 復習[ふくしゅう]して 授業[じゅぎょう]に 臨[のぞ]んでください。
予習[よしゅう];授業[じゅぎょう]の 予習[よしゅう]をしてくるべきだったのに。
ご覧になる[ごになるらんになる];私[わたし]たちの 新居[しんきょ]をご覧[らん]になってはいかがですか。
翻訳[ほんやく];その 論文[ろんぶん]を 翻訳[ほんやく]するには 少[すく]なくとも３日[みっか]は 必要[ひつよう]です。
一億[いちおく];コウイチは 東京[とうきょう]に 一億円[いちおくえん]のマンションを 持[も]っています。
只今[ただいま];只今[ただいま]、ジョエルさんは 公務中[こうむちゅう]です。
此の頃[このごろ];此[こ]の 頃[ごろ]、寒[さむ]い 日[ひ]が 多[おお]いですね。
若し[もし];もし 雨[あめ]が 降[ふ]ったら、行[い]きません。
お祭り[おまつり];メーデーは 世界[せかい]の 労働者[ろうどうしゃ]のお祭[まつ]りの 日[ひ]でもあります。
皆[みな];わたし の 昇進[しょうしん]を 皆[みな] が よろこんで くれた の。
二倍[にばい];新[あたら]しい 飛行機[ひこうき]は 音速[おんそく]の 二倍[にばい]の 速[はや]さで 飛[と]ぶ。
機[き];掃除機[そうじき]が 壊[こわ]れた。
未だ未だ[まだまだ];未[ま]だ未[ま]だかかりますか？
それ程[それほど];彼女[かのじょ]にとって 仕事[しごと]を 見[み]つけるのはそれ程[ほど]難[むずか]しくないです。
出来るだけ[できるだけ];出来[で]来るだけ 早[はや]く 来[き]てください。
葉[は];これは 桜[さくら]の 葉[は]です。
なる程[なるほど];なるほど、わかりました！
どうぞお元気で[どうぞおげんきで];どうぞお元気で。
又今度お願いします[またこんどおねがいします];又今度お願いします。
間に[あいだに];彼は 合間[あいま]に 釣[つ]りに 行[い]った。
気持ちがいい[きもちがいい];温泉[おんせん]のお湯[ゆ]は、本当[ほんとう]に 気持[きも]ちがいいものでした。
を下さい[をください];この 手紙[てがみ]を 受[う]け 取[と]ったらすぐに 私[わたし]に 電話[でんわ]を 下[くだ]さい。
湯[ゆ];お 風呂[ふろ]の お湯[ゆ]が いっぱいです。
いい事ですね[いいことですね];いい 事[こと]ですね。
途中で[とちゅうで];途中[とちゅう]で 乗[の]り 換[か]えが 必要[ひつよう]ですか。
最後に[さいごに];彼女[かのじょ]は 私[わたし]にそれを 最後[さいご]にさよならを 言[い]った。
お釣り[おつり];お釣[つ]りはいいです。
多くの[おおくの];ジーンズは 多[おお]くの 人[ひと]がよく 履[は]いている。
ご注文は[ごちゅうもんは];ご注文[ちゅうもん]は 何[なに]にしますか。
宜しくお伝え[よろしくおつたえ];宜[よろ]しくお伝[つた]え。
泳ぎ方[およぎかた];泳[およ]ぎ 方[かた]を 覚[おぼ]えるまで、水[みず]に 近寄[ちかよ]ってはいけません。
毛ですね[もうですね];もう 六時[ろくじ]ですね。
市[し];成田市[なりたし]は 千葉県[ちばけん]の 東[ひがし]にあります。
斯う[こう];問題[もんだい]は 斯[こ]うなるのだ。つまり 誰[だれ]が 彼女[かのじょ]に 電話[でんわ]をかけたかだ。
喉が渇きました[のどがかわきました];喉[のど]が 渇[かわ]きました。
吃驚[びっくり];その 質問[しつもん]は 少[すこ]し 吃驚[びっくり]した。
其れはいけませんね[それはいけませんね];それはいけませんね。
三つ星レストラン[みっつぼしレストラン];彼女[かのじょ]は 四[よ]つ 星[ぼし]レストランの 料理人[りょうりにん]だ。
以上です[いじょうです];６歳[ろくさい] 以上[いじょう]の 子供[こども]は 学校[がっこう]に 通[かよ]わなければならない。以上[いじょう]ですか？
中[ちゅう];うちの 子[こ]の 身長[しんちょう]は クラスで 中[ちゅう]くらいです。
時[とき];時[とき]の 経[た]つのは 早[はや]い。
部分[ぶぶん];この 部分[ぶぶん]は 問題[もんだい]ないです。
大[だい];チーズケーキの 大[だい]を 一[ひと]つください。
一体[いったい];一体[いったい] 何事[なにごと]ですか。
今日[こんにち];今日[きょう]はとても寒いわね。
上[かみ];お上[かみ]は何[なに]を考[かんが]えてるんだろうね。
本人[ほんにん];それは本人[ほんにん]に聞[き]いてください。
様子[ようす];彼女[かのじょ]の様子[ようす]を見[み]てきます。
自身[じしん];自分[じぶん]自身[じしん]を疑[うたが]ってはいけません。
全体[ぜんたい];全体[ぜんたい]の80パーセントが完成[かんせい]しました。
中心[ちゅうしん];ここが建物[たてもの]の中心[ちゅうしん]です。
全員[ぜんいん];チーム全員[ぜんいん]に名札[なふだ]が配[くば]られました。
出会う[であう];アメリカで彼女[かのじょ]と出会[であ]いました。
違い[ちがい];この二[ふた]つには大[おお]きな違[ちが]いがある。
以前[いぜん];以前[いぜん]、彼[かれ]はこの町[まち]に住[す]んでいたんだ。
他人[たにん];私[わたし]は他人[たにん]に住所[じゅうしょ]を教[おし]えたくない。
世の中[よのなか];世[よ]の中[なか]には色々[いろいろ]な人[ひと]がいます。
同時[どうじ];二人[ふたり]の走者[そうしゃ]は同時[どうじ]にゴールしたよ。
思い出[おもいで];旅行[りょこう]で楽[たの]しい思[おも]い出[で]ができました。
集中[しゅうちゅう];勉強[べんきょう]に集中[しゅうちゅう]しなさい。
感じ[かんじ];あの子[こ]は感[かん]じのいい子[こ]です。
願う[ねがう];彼[かれ]が元気[げんき]になるよう願[ねが]っています。
様[よう];彼女[かのじょ]は眠[ねむ]い様[よう]です。
担当[たんとう];私[わたし]はセールスを担当[たんとう]しています。
人物[じんぶつ];彼[かれ]は会社[かいしゃ]の重要[じゅうよう]な人物[じんぶつ]です。
能力[のうりょく];彼[かれ]は能力[のうりょく]のある社員[しゃいん]です。
協力[きょうりょく];このプロジェクトには皆[みな]の協力[きょうりょく]が必要[ひつよう]です。
実際[じっさい];彼[かれ]は実際[じっさい]にはあまり背[せ]が高[たか]くない。
選手[せんしゅ];彼[かれ]はプロのサッカー選手[せんしゅ]だ。
夫れ夫れ[それぞれ];人[ひと]は夫[それ]れ夫[ぞ]れ考[かんが]え方[かた]が違[ちが]います。
完全[かんぜん];この古[ふる]い寺院[じいん]は今[いま]でも完全[かんぜん]な形[かたち]を保[たも]っているんだ。
出来事[できごと];面白[おもしろ]い出来事[できごと]がありました。
中学[ちゅうがく];息子[むすこ]は中学[ちゅうがく]に通[かよ]っています。
年間[ねんかん];年間[ねんかん]五万人[ごまんにん]がここを訪[おとず]れます。
女子[じょし];このクラスの女子[じょし]は十八人[じゅうはちにん]です。
似合う[にあう];彼女[かのじょ]は着物[きもの]がよく似合[にあ]います。
相当[そうとう];一[いち]ポンドは454グラムに相当[そうとう]します。
少年[しょうねん];少年[しょうねん]たちがサッカーをしている。
助ける[たすける];彼女[かのじょ]は 病気[びょうき]の 犬[いぬ]を 助[たす]けた。
話し合う[はなしあう];私[わたし]たちは よく 話[はな]し 合[あ]いました。
使用[しよう];エネルギーの 使用[しよう]を 減[へ]らさねばならない。
発行[はっこう];その 雑誌[ざっし]は 年[ねん]に４回[よんかい] 発行[はっこう]されているんだ。
金[きん];彼女[かのじょ]は 金[きん]のネックレスをしています。
通す[とおす];針[はり]に 糸[いと]を 通[とお]してください。
活動[かつどう];彼[かれ]は 地域[ちいき]の 活動[かつどう]に 参加[さんか]した。
感謝[かんしゃ];アドバイスを 頂[いただ]き 感謝[かんしゃ]しています。
残り[のこり];仕事[しごと]の 残[のこ]りは 家[いえ]でします。
意思[いし];彼[かれ]は 最後[さいご]まで 自分[じぶん]の 意思[いし]を 貫[つらぬ]きました。
目標[もくひょう];私[わたし]は 父[ちち]を 目標[もくひょう]にしています。
性[せい];この 会社[かいしゃ]では 性[せい]による 差別[さべつ]はありません。
